      1            2                3                   4                      5                         6                            7                               8                                  9                                     10                                       11                                          12                                             13                                                14                                                    15                                                       16                                                          17                                                             18                                                                19                                                                   20
 131  Z/132        Z/132 + Z/132    Z/2248092           Z/17160 + Z/17160      Z/38579489652             Z/2248092 + Z/2248092        Z/662062621900812               Z/294499920 + Z/294499920          Z/11361656654439817572                Z/38579489652 + Z/38579489652            Z/194977389846841709335932                  Z/5053913144280 + Z/5053913144280              Z/3346006987161650573913911892                    Z/662062621900812 + Z/662062621900812                 Z/57420825906681085498936641961452                       Z/86730203469006240 + Z/86730203469006240                   Z/985398793384554108247251712700460612                         Z/11361656654439817572 + Z/11361656654439817572                   Z/16910428693272333051631086641652604545372                          Z/1488377021731616101800 + Z/1488377021731616101800
 137  Z/40 + Z/4   Z/2320 + Z/8     Z/643240 + Z/4      Z/4403360 + Z/80       Z/12065412200 + Z/4       Z/826482351760 + Z/8         Z/226456065075560 + Z/4         Z/258537355477440 + Z/480          Z/4250354099331419560 + Z/4           Z/291149255956773907600 + Z/8            Z/79774896128829221379880 + Z/4             Z/575825119582770755360 + Z/75920              Z/1497295025446060776577670120 + Z/4              Z/102564709243055595066745645840 + Z/8                Z/28102730332597246200918993396200 + Z/4                 Z/943645601854368216136109063040 + Z/16320                  Z/527460145612517665258721814432771880 + Z/4                   Z/36131019974457460019309143603117822480 + Z/8                    Z/9899899473001344046548972903337310724520 + Z/4                     Z/1232987479819258303966797859919290344800 + Z/4400
 139  Z/140        Z/140 + Z/140    Z/2685620           Z/19320 + Z/19320      Z/51888844700             Z/2685620 + Z/2685620        Z/1002544368429380              Z/373301040 + Z/373301040          Z/19370159742424031660                Z/51888844700 + Z/51888844700            Z/374250856383374715683540                  Z/7212549413160 + Z/7212549413160              Z/7230900796183182881721657020                    Z/1002544368429380 + Z/1002544368429380               Z/139708234283055276457744135264100                      Z/139353667211683680 + Z/139353667211683680                 Z/2699302794582910996440074437437656780                        Z/19370159742424031660 + Z/19370159742424031660                   Z/52153229294136423362218678205732966627060                          Z/2692452204196940400600 + Z/2692452204196940400600
 149  Z/82 + Z/2   Z/5576 + Z/4     Z/1652218 + Z/2     Z/724880 + Z/680       Z/36719911682 + Z/2       Z/2735630213576 + Z/4        Z/815218267280618 + Z/2         Z/59542900141920 + Z/4080          Z/489152971231094986 + Z/74           Z/1348350165552005242376 + Z/4           Z/401808349323346324457818 + Z/2            Z/1935017584008706499120 + Z/61880             Z/8920547163336128143421088482 + Z/2              Z/664580763668531109197232931976 + Z/4                Z/198045067573222421142076178943818 + Z/2                Z/7232528203041701409833935323840 + Z/8160                  Z/4396798545193111084599308671630833682 + Z/2                  Z/8853013286942885837385717586834983848 + Z/148                   Z/97613324501832259243391050237778666578618 + Z/2                    Z/8555520794572356839533044130223970024400 + Z/3400
 151  Z/152        Z/152 + Z/152    Z/3442952           Z/22800 + Z/22800      Z/78502725752             Z/3442952 + Z/3442952        Z/1789940649848552              Z/519885600 + Z/519885600          Z/40812436757196811352                Z/78502725752 + Z/78502725752            Z/930564370500844495614152                  Z/11853911588400 + Z/11853911588400            Z/21217798211789755344498256952                   Z/1789940649848552 + Z/1789940649848552               Z/483787017027018211609904756739752                      Z/270281038127131200 + Z/270281038127131200                 Z/11030827775233042242917438358423062552                       Z/40812436757196811352 + Z/40812436757196811352                   Z/251513904103088596180760512010404249225352                         Z/6162677950336718514000 + Z/6162677950336718514000
 157  Z/30 + Z/6   Z/2040 + Z/12    Z/215010 + Z/18     Z/297840 + Z/2040      Z/15898083150 + Z/6       Z/416002208040 + Z/36        Z/391873864427670 + Z/6         Z/90476763571680 + Z/4080          Z/1073255473050457230 + Z/54          Z/758254991748873430200 + Z/12           Z/238092067410811314952710 + Z/6            Z/2819038807198234193040 + Z/79560             Z/5868731369602239896721983790 + Z/6              Z/460695412513770730111291172280 + Z/12               Z/48219453176441368750352819572050 + Z/18                Z/16699531210370503051074298599360 + Z/8160                 Z/3565683904038309807940007393440697310 + Z/6                  Z/840559118519541501512997608166712920 + Z/3996                   Z/87890542550640298478211884651641987173990 + Z/6                    Z/737904555104306249257741221616057357200 + Z/112200
 163  Z/164        Z/164 + Z/164    Z/4330748           Z/26568 + Z/26568      Z/115063617044            Z/4330748 + Z/4330748        Z/3057125241215468              Z/705911760 + Z/705911760          Z/81224760533853742724                Z/115063617044 + Z/115063617044          Z/2158060662623960090407388                 Z/18755369578008 + Z/18755369578008            Z/57337513745255995642033865204                   Z/3057125241215468 + Z/3057125241215468               Z/1523400402697706548213197764578508                     Z/498311414318121120 + Z/498311414318121120                 Z/40475225299275365279476451407086352484                       Z/81224760533853742724 + Z/81224760533853742724                   Z/1075386260976447180110409837434877299120828                        Z/13239635967018160063848 + Z/13239635967018160063848
 167  Z/168        Z/168 + Z/168    Z/4657464           Z/27888 + Z/27888      Z/129891985608            Z/4657464 + Z/4657464        Z/3622557586593624              Z/777796320 + Z/777796320          Z/101029508532509551848               Z/129891985608 + Z/129891985608          Z/2817611963463158891460984                 Z/21691961596368 + Z/21691961596368            Z/78580380049024038323955354888                   Z/3622557586593624 + Z/3622557586593624               Z/2191528219187231404816790892443544                     Z/604967116961135040 + Z/604967116961135040                 Z/61119530504912696648935481199357970728                       Z/101029508532509551848 + Z/101029508532509551848                 Z/1704562586251510196842161635168894445605304                        Z/16871927924929095158448 + Z/16871927924929095158448
 173  Z/74 + Z/2   Z/7400 + Z/4     Z/2586818 + Z/2     Z/22392400 + Z/40      Z/77481661594 + Z/2       Z/515552827400 + Z/52        Z/2318957130441298 + Z/2        Z/3343163241093600 + Z/240         Z/69404068935876471914 + Z/2          Z/6003451963149305417000 + Z/4           Z/2077194379251067398170978 + Z/2           Z/1382133183116936338301200 + Z/520            Z/62168350576598741450498223034 + Z/2             Z/5377562324875780119697865109800 + Z/4               Z/1860636564407019531118417433743858 + Z/2               Z/78894638637846659938044013425600 + Z/8160                 Z/55686991736137686353447442357237986954 + Z/2                 Z/10014396642777359394713951674307786600 + Z/1924                 Z/1666655975670864814604262212028959726247938 + Z/2                  Z/70324752144160881201525506687723749642000 + Z/8200
 179  Z/180        Z/180 + Z/180    Z/5735340           Z/32040 + Z/32040      Z/183765996900            Z/5735340 + Z/5735340        Z/5888046306640860              Z/1026625680 + Z/1026625680        Z/188658891711079763220               Z/183765996900 + Z/183765996900          Z/6044819549314706693299980                 Z/32894113444920 + Z/32894113444920            Z/193682063179592517160024627140                  Z/5888046306640860 + Z/5888046306640860               Z/6205766986337323842324349078160700                     Z/1053960288888713760 + Z/1053960288888713760               Z/198838980009234193231914468813346956660                      Z/188658891711079763220 + Z/188658891711079763220                 Z/6370999758475872785343771495248449838311020                        Z/33769941616283277616200 + Z/33769941616283277616200
