      1            2                3                   4                      5                         6                            7                               8                                  9                                     10                                       11                                          12                                             13                                                14                                                    15                                                       16                                                          17                                                             18                                                                19                                                                   20
 653  Z/314 + Z/2  Z/106760 + Z/4   Z/139239218 + Z/2   Z/4545627280 + Z/40    Z/59365738454794 + Z/2    Z/19382915087417480 + Z/4    Z/25314087281673010498 + Z/2    Z/137750824980101908320 + Z/240    Z/10794154645394547842077274 + Z/2    Z/320390135610894894637859800 + Z/44     Z/4602724688186069496051663815378 + Z/2     Z/11559920082251938838645960476240 + Z/520     Z/1962643231564734225074478951254355754 + Z/2     Z/640803015105885724890314850118423067720 + Z/4       Z/836888737728286756695703956265038365221858 + Z/2       Z/133943221994257659833696197929953586851520 + Z/8160       Z/356856889765981027635312803126248422633042938234 + Z/2       Z/116513774508592805522929714637470705008906556847240 + Z/4       Z/152166989508222204012946220818983834865036264904397938 + Z/2       Z/90331858317153726564048984032374356669983721880716400 + Z/2200
 659  Z/660        Z/660 + Z/660    Z/286191180         Z/434280 + Z/434280    Z/124287391407300         Z/286191180 + Z/286191180    Z/53975652627753217020          Z/188599986960 + Z/188599986960    Z/23440600398833294840228340          Z/124287391407300 + Z/124287391407300    Z/10179807381805722116509203289260          Z/81905390937410040 + Z/81905390937410040      Z/4420896929577970806479733313662687780           Z/53975652627753217020 + Z/53975652627753217020       Z/1919911539474050739808825063190745711351900            Z/35569955081689370015520 + Z/35569955081689370015520       Z/833781103274330229334916357267540238271614049620             Z/23440600398833294840228340 + Z/23440600398833294840228340       Z/362095291311079406325796810550504642216834821082588940             Z/15447355662831141299710475400 + Z/15447355662831141299710475400
 661  Z/102 + Z/6  Z/36312 + Z/12   Z/16043274 + Z/18   Z/1590828720 + Z/120   Z/21030810852342 + Z/6    Z/2316894484384584 + Z/36    Z/9188803535244689262 + Z/6     Z/8932057553954202720 + Z/4080     Z/446086803259912776915798 + Z/54     Z/1326885196296343208696650392 + Z/12    Z/1754142229503746998623665674302 + Z/6     Z/135138463135428459598870183920 + Z/51480     Z/766421577057006240439327197407273622 + Z/6      Z/253302331217340562238777714209481246232 + Z/12      Z/111621893956441407756033614982566116516314 + Z/18      Z/162754570379134787926423397785882548047040 + Z/8160       Z/146309848588027008954331279134345371109091210662 + Z/6       Z/73600311960948137685550110268220324523695892696 + Z/7884        Z/63925845354929348779335288106470241862836763370937182 + Z/6        Z/422549837796082995431406254063419036553032317159711600 + Z/600
 673  Z/60 + Z/12  Z/18840 + Z/24   Z/8467380 + Z/36    Z/854770800 + Z/240    Z/11505195966300 + Z/12   Z/1290499651709640 + Z/72    Z/5211037559244484860 + Z/12    Z/12525100993793824800 + Z/3360    Z/7087777871629604441580 + Z/3996     Z/794217405516630330892042200 + Z/24     Z/1069016627825386243035928204380 + Z/12    Z/922369475033954754855548806800 + Z/9360      Z/484188632224324218498278988686423580 + Z/12     Z/5618257749775348254650296145016220920 + Z/696       Z/73101024334910314592833128165710006490900 + Z/36       Z/15503252955061336676766828337329056500800 + Z/114240      Z/99328721552959781634578692109140845066920242620 + Z/12       Z/1374968727737503250649378868565926821183002040 + Z/583416       Z/44988858524260520935968118332130422851855445699281820 + Z/12       Z/302775017868273305899065437196643254833017337974974000 + Z/1200
 677  Z/26 + Z/26  Z/8840 + Z/52    Z/11934338 + Z/26   Z/403970320 + Z/520    Z/5469781544266 + Z/26    Z/1851521123670920 + Z/52    Z/2506959585884593138 + Z/26    Z/14143430329305744480 + Z/3120    Z/1149012279963082389734906 + Z/26    Z/388940656767556723136832200 + Z/52     Z/526625649263265054393679386338 + Z/26     Z/17826278227561517805626565032080 + Z/520     Z/18566754400090996575819411740981842 + Z/338     Z/81703002737600430465304298522752260680 + Z/52       Z/110625865706710982847178577824192190297938 + Z/26      Z/18356301736138072398894355842930612646080 + Z/106080      Z/50703042403491138057331857094901869528963623386 + Z/26       Z/463864320367074330605590613189576026073971282280 + Z/1924       Z/23238674721749689814678877381537760251734373947631938 + Z/26       Z/157325827866245400045375999591758743506242188390859600 + Z/2600
 683  Z/684        Z/684 + Z/684    Z/318611988         Z/466488 + Z/466488    Z/148628987203644         Z/318611988 + Z/318611988    Z/69333787611640219428          Z/217611987120 + Z/217611987120    Z/32343449249166434320281804          Z/148628987203644 + Z/148628987203644    Z/15087863296794400779633937999668          Z/101513598260088168 + Z/101513598260088168    Z/7038322261458323225290656103526659164           Z/69333787611640219428 + Z/69333787611640219428       Z/3283299913425431743042612875078047706288708            Z/47354976938750269868640 + Z/47354976938750269868640       Z/1531623293313916228380205437482283396458912639724            Z/32343449249166434320281804 + Z/32343449249166434320281804       Z/714485418474715467460853654325672899330721698391742548             Z/22090575837180674640752471448 + Z/22090575837180674640752471448
 691  Z/692        Z/692 + Z/692    Z/329939372         Z/477480 + Z/477480    Z/157539780804452         Z/329939372 + Z/329939372    Z/75222252078290067932          Z/227988105360 + Z/227988105360    Z/35917196144594019925761812          Z/157539780804452 + Z/157539780804452    Z/17149778732316897228172675278092          Z/108859988535875640 + Z/108859988535875640    Z/8188693498885404405405117164458168772           Z/75222252078290067932 + Z/75222252078290067932       Z/3909945560541301780897240748802650882945852            Z/51978576186098436940320 + Z/51978576186098436940320       Z/1866924716192821315644595409979038546239867881332            Z/35917196144594019925761812 + Z/35917196144594019925761812       Z/891421080412464514615297060952201304097158355845807212             Z/24818782535914467768701411400 + Z/24818782535914467768701411400
 701  Z/346 + Z/2  Z/123176 + Z/4   Z/172246066 + Z/2   Z/464373520 + Z/520    Z/84636956869226 + Z/2    Z/29665257163774376 + Z/4    Z/41590690451614713986 + Z/2    Z/2669878571461614240 + Z/21840    Z/20437706874255219077562106 + Z/2    Z/7163416259428646172677590376 + Z/4     Z/10043109595719004174235172493906 + Z/2    Z/27077768563842381828908103617680 + Z/520     Z/4935194098445912456020224500840286986 + Z/2     Z/1729785531505292316483549128738589891176 + Z/4      Z/2425159315170419827762242800407011580177826 + Z/2      Z/4578853371941565124059863528242609669440 + Z/742560       Z/1191725712634059473781882709791450437275020851866 + Z/2      Z/417699862278237845560549822460874043806807731076776 + Z/4       Z/585615206914089459475890878153765517917788468196357746 + Z/2       Z/315781738497520546994307312269853778670989534292747600 + Z/2600
 709  Z/370 + Z/2  Z/25160 + Z/20   Z/178182010 + Z/2   Z/56911920 + Z/4440    Z/89577964554850 + Z/2    Z/6351077513485640 + Z/20    Z/45029139806483198890 + Z/2    Z/7190463990304115040 + Z/8880     Z/22635293022925899660114130 + Z/2    Z/29178950460469751213775800 + Z/1100    Z/11378331732060056692760933620570 + Z/2    Z/93176682813936025798570848720 + Z/173160     Z/5719671173403682069077037486076758210 + Z/2     Z/405524686194321058453923968171309394440 + Z/20      Z/2875170025117736304469222513223508131687050 + Z/2      Z/13503547613993607842272649098138602920640 + Z/301920      Z/1445293343396208803267414767870379144867656087090 + Z/2      Z/102471298046791204151659788056276387255604014473160 + Z/20      Z/726521503151749637435267905571715196076000230681558330 + Z/2       Z/4218703896270192407384151877382255988355037807355600 + Z/244200
 719  Z/720        Z/720 + Z/720    Z/371694960         Z/516960 + Z/516960    Z/192151797699600         Z/371694960 + Z/371694960    Z/99334985490582398640          Z/267248675520 + Z/267248675520    Z/51352313434196967382816080          Z/192151797699600 + Z/192151797699600    Z/26547143305255898455187983015920          Z/138157142546011680 + Z/138157142546011680    Z/13723837750228394521292434887892502160          Z/99334985490582398640 + Z/99334985490582398640       Z/7094688887195821060121858432079795808618800            Z/71421854567728744621440 + Z/71421854567728744621440       Z/3667677461813638851061656056906403321019382949840            Z/51352313434196967382816080 + Z/51352313434196967382816080       Z/1896046208336640554083684776834391167237501229131719280            Z/36922313359187619548244760800 + Z/36922313359187619548244760800
 727  Z/728        Z/728 + Z/728    Z/384240584         Z/528528 + Z/528528    Z/203082291092408         Z/384240584 + Z/384240584    Z/107334880228778779304         Z/279342903840 + Z/279342903840    Z/56729596912436219446235288          Z/203082291092408 + Z/203082291092408    Z/29983237126533002627699290002824          Z/147640825624179888 + Z/147640825624179888    Z/15847010335249361345815278045902037368          Z/107334880228778779304 + Z/107334880228778779304     Z/8375604525479009702742403090322557907543144            Z/78032457926322172553280 + Z/78032457926322172553280       Z/4426749884246895519180739562925091208315869826648            Z/56729596912436219446235288 + Z/56729596912436219446235288       Z/2339665689571127441857077100453235531239978363607912264            Z/41242416955341131537413053648 + Z/41242416955341131537413053648
 733  Z/394 + Z/2  Z/133960 + Z/4   Z/196935778 + Z/2   Z/2405653680 + Z/120   Z/105801039143194 + Z/2   Z/38776075697012680 + Z/4    Z/56845727241821285938 + Z/2    Z/20425450030011446880 + Z/4080    Z/30542583939058515389066794 + Z/2    Z/11193857013662614426876145800 + Z/4    Z/16410194382029511289424386560898 + Z/2    Z/70417237337710038589939454160 + Z/341640     Z/8817016929326251978691269391481515194 + Z/2     Z/3231436704598071349280189174390101181320 + Z/4      Z/4087391034461408626478570456333191311262 + Z/2318      Z/851085978223918214313223891372124108064960 + Z/8160       Z/2545291769915578768453723692928384790183901192394 + Z/2      Z/932849433674059618638289470929243031128154379927240 + Z/4       Z/1367557269766171400923732375294082320720672331681453218 + Z/2      Z/81497518596634442022528116332210733311989021976508400 + Z/24600
 739  Z/740        Z/740 + Z/740    Z/403583420         Z/546120 + Z/546120    Z/220405380367700         Z/403583420 + Z/403583420    Z/120368006731788145580         Z/298248146640 + Z/298248146640    Z/65735496204370873851749060          Z/220405380367700 + Z/220405380367700    Z/35899534922627225998791047850140          Z/162879576091729560 + Z/162879576091729560    Z/19605489911480103289685765842965760820          Z/120368006731788145580 + Z/120368006731788145580     Z/10706969755947425488666480127926304264233100           Z/88951956974791439582880 + Z/88951956974791439582880       Z/5847301030087763955296026793943241211087244258980            Z/65735496204370873851749060 + Z/65735496204370873851749060       Z/3193333885852559739030221448735076833440176921957870460            Z/48578531695030075776442554600 + Z/48578531695030075776442554600
 743  Z/744        Z/744 + Z/744    Z/410172408         Z/552048 + Z/552048    Z/226435267111944         Z/410172408 + Z/410172408    Z/125003362773881021208         Z/304758098400 + Z/304758098400    Z/69007981415958243876303144          Z/226435267111944 + Z/226435267111944    Z/38095787132698332573669273790008          Z/168241403464173648 + Z/168241403464173648    Z/21030741190818981798961548926499574344          Z/125003362773881021208 + Z/125003362773881021208     Z/11609999643650428083134924123325163516478808           Z/92877498540993598756800 + Z/92877498540993598756800       Z/6409288693277575172866551727357533194108608925544            Z/69007981415958243876303144 + Z/69007981415958243876303144       Z/3538241413835192096605807014535998842274463448737087608            Z/51272930192056975200093235248 + Z/51272930192056975200093235248
 751  Z/752        Z/752 + Z/752    Z/423564752         Z/564000 + Z/564000    Z/238890943128752         Z/423564752 + Z/423564752    Z/134734730815558692752         Z/318097128000 + Z/318097128000    Z/75990522914705918270256752          Z/238890943128752 + Z/238890943128752    Z/42858730914417052610343077820752          Z/179407098289692000 + Z/179407098289692000    Z/24172367094462132089286106233981384752          Z/134734730815558692752 + Z/134734730815558692752     Z/13633239213643736960489453202071734980948752           Z/101185782842484578256000 + Z/101185782842484578256000     Z/7689160549734281289453012095421660600990076512752            Z/75990522914705918270256752 + Z/75990522914705918270256752       Z/4336694239210684381532788274829912000619004143268076752            Z/57068882708944144620962820000 + Z/57068882708944144620962820000
 757  Z/370 + Z/2  Z/143560 + Z/4   Z/16685890 + Z/26   Z/912180240 + Z/360    Z/124293766002850 + Z/2   Z/3618861252496360 + Z/52    Z/71226427316765699530 + Z/2    Z/21396192647835932640 + Z/5040    Z/3139710226345804756995610 + Z/26    Z/15448944168734895580897217800 + Z/4    Z/23389701471464813250808221935290 + Z/2    Z/2522222794002687513534013267440 + Z/14040    Z/252895189406064938391526408772413370 + Z/106    Z/5073203947080365694780124228531518230920 + Z/4      Z/590833136606128743222954715136975519578450 + Z/26      Z/67861681808367331489961262485401303803840 + Z/171360      Z/4401492395287071112279379012692092345488745347890 + Z/2      Z/128151143970473570461364949597833766590494024991080 + Z/52      Z/2522270815626860813820584878786633832569071920386429210 + Z/2      Z/2121510008255037373402425281224198545978747504149701200 + Z/1800
 761  Z/40 + Z/20  Z/14480 + Z/40   Z/22033960 + Z/20   Z/220646240 + Z/1520   Z/2552250224200 + Z/100   Z/4855656419528720 + Z/40    Z/7390309076660278760 + Z/20    Z/12333388610844663360 + Z/9120    Z/4279883182206346626556840 + Z/20    Z/325699110165866544121608400 + Z/200    Z/2478570228362238859327295836840 + Z/20    Z/1909101157675773542294204849120 + Z/19760    Z/1435392069219368487376826753302832360 + Z/20    Z/546166682337969709533355808177853080720 + Z/40      Z/166253138103677979582818745635574700457800 + Z/100     Z/40801934370774942744603284296989786514560 + Z/310080      Z/481403417958700476069690568374682854149887384360 + Z/20      Z/4950648663061771112013978992767376962018452303440 + Z/1480      Z/278790828811660578401955209872743602617717765391328040 + Z/20      Z/558315317699141316220757670764719252243776433845887200 + Z/7600
 769  Z/60 + Z/12  Z/4920 + Z/120   Z/12631860 + Z/36   Z/1457117040 + Z/240   Z/22410445278300 + Z/12   Z/574454372904360 + Z/360    Z/13252662332688260220 + Z/12   Z/254782433306845574880 + Z/480    Z/870789738719890334719260 + Z/108    Z/2939871113014431929472600 + Z/24600    Z/4634559816111592856892094269660 + Z/12    Z/123491909168046260756501155920 + Z/346320    Z/2740697927415567816049369421283921180 + Z/12    Z/210759670618257165117229606624092759480 + Z/120     Z/540247289018132533257068926833563520273300 + Z/36      Z/130919169723196612838714164386397322571840 + Z/114240     Z/958443531243155618998695635470585274492520677820 + Z/12      Z/8189367505844296344555522808032283318952834655480 + Z/1080      Z/566786125079483750006687731395652224563030097914726940 + Z/12      Z/1052544144376051687406768571002142144269234029705200 + Z/4969200
 773  Z/370 + Z/2  Z/149480 + Z/4   Z/230964730 + Z/2   Z/8926048720 + Z/40    Z/137996312554850 + Z/2   Z/53335573696619240 + Z/4    Z/82456797169483958570 + Z/2    Z/531159201847450618080 + Z/240    Z/1331630474689661182464490 + Z/74    Z/1731180145754388393219489400 + Z/44    Z/29440449558698931189874960693210 + Z/2    Z/87528721187977957620379628809360 + Z/520     Z/17591522384359809911294651717422070210 + Z/2    Z/6799123401555066532390351154206991201960 + Z/4      Z/10511444778804132859198076393673164988720650 + Z/2     Z/1991506572062645759843551894776020427487680 + Z/8160      Z/6280893087234054703224946618102550638450830103090 + Z/2      Z/362485467853660167656628424550132846689293272360 + Z/26788      Z/3753015765521877472763297047313935499258589268828712890 + Z/2      Z/6576924023460465396613077800161278299947701618455600 + Z/882200
 787  Z/788        Z/788 + Z/788    Z/487443404         Z/619368 + Z/619368    Z/301907333072708         Z/487443404 + Z/487443404    Z/186992042977909461884         Z/383617958160 + Z/383617958160    Z/115817074667184805497011828         Z/301907333072708 + Z/301907333072708    Z/71733505719539585795878718277164          Z/237601071128220408 + Z/237601071128220408    Z/44429509704005513714807605860608170148          Z/186992042977909461884 + Z/186992042977909461884     Z/27518260995860191024026672034279021735777244           Z/147162737823614746501920 + Z/147162737823614746501920     Z/17043957794744930654360375831199363413466615219668           Z/115817074667184805497011828 + Z/115817074667184805497011828     Z/10556499095373372954460531618194118518035404001989930124           Z/91148037763074441926148307848 + Z/91148037763074441926148307848
 797  Z/410 + Z/2  Z/159080 + Z/4   Z/253109810 + Z/2   Z/10087262800 + Z/40   Z/3921730977050 + Z/82    Z/64075194887204840 + Z/4    Z/102135860943363999490 + Z/2   Z/39903079007873349600 + Z/4080    Z/64877618096995061975160890 + Z/2    Z/630578800284254754732951400 + Z/164    Z/41210846913777360949510504415570 + Z/2    Z/126327096116463652931730708912400 + Z/520    Z/26177500857253598172592626550970761930 + Z/2    Z/10431734091615558874400720591259514030760 + Z/4     Z/405565466878907337699261677007902534868050 + Z/82      Z/464028808165338062815033049639941862913600 + Z/57120      Z/10562372220678037893976014185593911776795100798170 + Z/2     Z/4209105329940198100749440780692788860497029745458920 + Z/4      Z/6709313895924675772594608538318032787626248997474914930 + Z/2      Z/118565924058801919972459046738008930107149596140254000 + Z/90200
 809  Z/200 + Z/4  Z/16400 + Z/40   Z/132374600 + Z/4   Z/5354304800 + Z/80    Z/86632845781000 + Z/4    Z/1001228259810800 + Z/280   Z/56699556255544059400 + Z/4    Z/382249508374551979200 + Z/480    Z/37108782273022528184649800 + Z/4    Z/600420097177602374944402000 + Z/200    Z/272887561020607280832875489800 + Z/356    Z/10795701802771835817432106287200 + Z/7280    Z/15895375420365195558646021798290526600 + Z/4    Z/1285935871507544320926675784691945987600 + Z/40     Z/10403221200496033556370368112530064598693000 + Z/4     Z/2062795576274826261544726669871312160547200 + Z/16320     Z/6808710614521844538005839273017391660867014931400 + Z/4      Z/78689241244973889017810345530604950674836107545200 + Z/280      Z/4456171731702871335078599926941946162515218615064681800 + Z/4      Z/27290256858044079561533590774544419838665286101924000 + Z/528400
 811  Z/812        Z/812 + Z/812    Z/533411732         Z/657720 + Z/657720    Z/350836097125052         Z/533411732 + Z/533411732    Z/230752268637185668772         Z/432596913840 + Z/432596913840    Z/151770612880318395249730892         Z/350836097125052 + Z/350836097125052    Z/99822719274255895242048251359412          Z/284528074768416360 + Z/284528074768416360    Z/65655498743782861674495217932363162332          Z/230752268637185668772 + Z/230752268637185668772     Z/43183000289259607563410669233691831491507652           Z/187140089864757577373280 + Z/187140089864757577373280     Z/28402366133252118346214028779053025100425903723372           Z/151770612880318395249730892 + Z/151770612880318395249730892     Z/18680832655528716530790237222587534722077225822839297492           Z/123085967045938218547531752600 + Z/123085967045938218547531752600
 821  Z/386 + Z/2  Z/168296 + Z/4   Z/39527558 + Z/14   Z/11358297040 + Z/40   Z/186503002261426 + Z/2   Z/10937068016085848 + Z/28   Z/125710659338365118746 + Z/2   Z/860070427543682369760 + Z/240    Z/12104876931626546099284238 + Z/14   Z/34783363863028179794916919976 + Z/4    Z/57114283463092379965666809995786 + Z/2    Z/133493215063482464667269294320 + Z/702520    Z/38497368739746256532622641923177641106 + Z/2    Z/15803169867665838309939621423197163525416 + Z/4     Z/3706972131815329500721936119653598486225718 + Z/14     Z/5221560990574190843296614275120380804647360 + Z/8160      Z/17490558418906555583973754931075110580941600551746 + Z/2     Z/1025696318708734438174460671329661874170117353819608 + Z/28     Z/11789353487238193632377250825659925918215422125395407466 + Z/2     Z/96790592130225569721817229241278724607094433564919677200 + Z/200
 823  Z/824        Z/824 + Z/824    Z/557441768         Z/677328 + Z/677328    Z/377571474600344         Z/557441768 + Z/557441768    Z/255740109319575723848         Z/458774574240 + Z/458774574240    Z/173220192505318905457564664         Z/377571474600344 + Z/377571474600344    Z/117327059769435148914666815625128         Z/310741323596082288 + Z/310741323596082288    Z/79469020066571739979222359560551645784          Z/255740109319575723848 + Z/255740109319575723848     Z/53826671892670970068386701578788885686553608           Z/210474109970010820726080 + Z/210474109970010820726080     Z/36458365846390935485450296193659497153187668075704           Z/173220192505318905457564664 + Z/173220192505318905457564664     Z/24694308480370125941424563670555193547271450030047837288           Z/142560218431877459191575717648 + Z/142560218431877459191575717648
 827  Z/828        Z/828 + Z/828    Z/565609284         Z/683928 + Z/683928    Z/386836591312908         Z/565609284 + Z/565609284    Z/264568763060045171604         Z/467758877040 + Z/467758877040    Z/180946249550893634169268188         Z/386836591312908 + Z/386836591312908    Z/123754387509093132323753421866724         Z/319913861015774088 + Z/319913861015774088    Z/84639214494706556897052354063885994668          Z/264568763060045171604 + Z/264568763060045171604     Z/57887213330150160752044119462559484446606644           Z/218798367050657356915680 + Z/218798367050657356915680     Z/39590743925676269292984782579908845638083234740348           Z/180946249550893634169268188 + Z/180946249550893634169268188     Z/27077257902343845181281789365094476888408628652730783364           Z/149642548378589035457984790648 + Z/149642548378589035457984790648
 829  Z/442 + Z/2  Z/171496 + Z/4   Z/284872978 + Z/2   Z/77173200 + Z/6120    Z/195768425633482 + Z/2   Z/6242001094398472 + Z/52    Z/134540091325839215458 + Z/2   Z/18224466620968202400 + Z/12240   Z/92461466911762584600101722 + Z/2    Z/38325278034931400587751847976 + Z/4    Z/63543310981915955737909773164338 + Z/2    Z/441406106954988555576766705200 + Z/238680    Z/43669568582522908951060983452921101162 + Z/2    Z/18101036177455745760572449225219184031016 + Z/4     Z/30011517982221626471089489388730548140351618 + Z/2     Z/2032642843730533361481154720654595942548800 + Z/24480     Z/20625145629619972797614975716558128919165864407802 + Z/2     Z/657624835652113748047031135786042250068612761512712 + Z/52      Z/14174445707645659725405709258024025043686612650462569298 + Z/2     Z/768014084420800778585708037309402439921996201529226000 + Z/30600
 839  Z/840        Z/840 + Z/840    Z/590589720         Z/703920 + Z/703920    Z/415728505588200         Z/590589720 + Z/590589720    Z/292640025382150628280         Z/495504774240 + Z/495504774240    Z/205995459307028852408781960         Z/415728505588200 + Z/415728505588200    Z/145004529710863056816442205361240         Z/348796216188498960 + Z/348796216188498960    Z/102071733558600433817286813640088718120         Z/292640025382150628280 + Z/292640025382150628280     Z/71850436758303575973098351144344890547044600           Z/245524981295624377126080 + Z/245524981295624377126080     Z/50577031293341811502559364435878399698766181172680           Z/205995459307028852408781960 + Z/205995459307028852408781960     Z/35602234445040461294693090373067958994355189017253374360           Z/172830190358597207170968063600 + Z/172830190358597207170968063600
 853  Z/150 + Z/6  Z/60600 + Z/12   Z/34479450 + Z/18   Z/4411801200 + Z/120   Z/75265138515750 + Z/6    Z/10700194872954600 + Z/36   Z/54763597241959725150 + Z/6    Z/13121727092028645600 + Z/21360   Z/4427387358434606034246150 + Z/54    Z/16994526375349069169406843000 + Z/12   Z/28992661996345634593078569307950 + Z/6    Z/164280195847501158257655872400 + Z/903240    Z/21095321802499049167428651400236778950 + Z/6    Z/8997154748765844471085911974597644318200 + Z/12     Z/5116382000464843555859051538634315806302250 + Z/18     Z/64119370607812388755296875953454836800 + Z/1225166880     Z/11168176772928673064507147893152037856759895086550 + Z/6     Z/7454189974419529048532548055541672312709669734600 + Z/7668      Z/8126065933573858879792980799884350124763296214392041550 + Z/6      Z/27715050944976016091417083647609567992880264675366000 + Z/1500600
 857  Z/200 + Z/4  Z/91600 + Z/8    Z/157344200 + Z/4   Z/1348535200 + Z/400   Z/115569726901000 + Z/4   Z/3809356264339600 + Z/104   Z/84880076460254129800 + Z/4    Z/11021549322855508800 + Z/26400   Z/62340087280038274904841800 + Z/4    Z/26712727399497497159854258000 + Z/8    Z/45785614762738749085365273955400 + Z/4    Z/30183286039743929497144146253600 + Z/5200    Z/33627198976878711841432753221517822600 + Z/4    Z/14409254761592528023562318665326533621200 + Z/8     Z/24697462661369593032338501283801304208821000 + Z/4     Z/94321414887672643621712094837340342492800 + Z/897600      Z/18139026754180236233006280586921758632549149843400 + Z/4     Z/597890228012787017372553078754613579068097658038800 + Z/104     Z/13322190060580920321095227620486695150296924779650726600 + Z/4     Z/22834233763835697430357220136336604949737354989929876000 + Z/2000
 859  Z/860        Z/860 + Z/860    Z/633839780         Z/737880 + Z/737880    Z/467698329968300         Z/633839780 + Z/633839780    Z/345105711415338434420         Z/544468370160 + Z/544468370160    Z/254646947444861339327526140         Z/467698329968300 + Z/467698329968300    Z/187899144227561729924334314971460         Z/401752865442768840 + Z/401752865442768840    Z/138647208441777476838297728665455138380         Z/345105711415338434420 + Z/345105711415338434420     Z/102305140812227206386919966325394702962234900          Z/296445806105775715165920 + Z/296445806105775715165920     Z/75489019607667023275986891672148568816476849509020           Z/254646947444861339327526140 + Z/254646947444861339327526140     Z/55701913277124950801908483613936658106870754192564448740           Z/218741727855135890482344953400 + Z/218741727855135890482344953400
 863  Z/864        Z/864 + Z/864    Z/642735648         Z/744768 + Z/744768    Z/478689585080544         Z/642735648 + Z/642735648    Z/356513163590850929568         Z/554680863360 + Z/554680863360    Z/265519952334394455962685024         Z/478689585080544 + Z/478689585080544    Z/197751029380134624572872961894688         Z/413109111924508608 + Z/413109111924508608    Z/147278836400413484208514022957344142304         Z/356513163590850929568 + Z/356513163590850929568     Z/109688711707099550220490780363918239518863008          Z/307670860178904352216320 + Z/307670860178904352216320     Z/81692752129384824918164698000855023328224082860384           Z/265519952334394455962685024 + Z/265519952334394455962685024     Z/60842229310649806669476603965398794869138121967844586528           Z/229143718864582415495797174848 + Z/229143718864582415495797174848
 877  Z/410 + Z/2  Z/63960 + Z/12   Z/337241810 + Z/2   Z/4929653040 + Z/120   Z/6326799833050 + Z/82    Z/12638486212265160 + Z/36   Z/199511143544980661090 + Z/2   Z/1458093940762293475680 + Z/240   Z/153449806325796552848578490 + Z/2   Z/547054797348454399133539800 + Z/492    Z/118022696089550052752900246157170 + Z/2   Z/44233292508775806927847600005840 + Z/4680    Z/90774678220659535166198036977743742730 + Z/2    Z/13268232133253068721784787168099652992920 + Z/12    Z/1702864328906771893017256948002017205344050 + Z/82     Z/15007326635907058077747923131619142785561280 + Z/8160     Z/53698615875537198931474213855240382379899115639770 + Z/2     Z/23570413474897959691142581185140082253912168023480 + Z/3996     Z/41301162729736050276965823085954859082177603632993203730 + Z/2     Z/48275516078873138868318041904074609191415837076241200 + Z/1500600
 881  Z/104 + Z/8  Z/48464 + Z/16   Z/85475624 + Z/8    Z/3765168160 + Z/160   Z/66342157519144 + Z/8    Z/2247978310926608 + Z/208   Z/51492191048481397864 + Z/8    Z/126012834196566857280 + Z/2880   Z/39966230493760494980234984 + Z/8    Z/17605124532502230414822516944 + Z/16   Z/31020229426269023182707377140904 + Z/8    Z/9555532211378675801786063379680 + Z/22880    Z/24076692291722394357083452475368243624 + Z/8    Z/10605782954503714714970032849949712981584 + Z/16    Z/18687389565835545327768596171468665429600744 + Z/8     Z/192152079919480805716182471909802529159040 + Z/685440     Z/14504422972808482697144701630652321962098242761064 + Z/8     Z/13283156589443111492915259765378641794058793805904 + Z/7696     Z/11257767438998004738698526739399843492554198234955193384 + Z/8     Z/2419047100916400530437415135856845836257215497975760800 + Z/32800
 883  Z/884        Z/884 + Z/884    Z/688465388         Z/779688 + Z/779688    Z/536788889124644         Z/688465388 + Z/688465388    Z/418528392172703776028         Z/607914936720 + Z/607914936720    Z/326321983564743234426715604         Z/536788889124644 + Z/536788889124644    Z/254429661043611087706931461787468         Z/473984589097059768 + Z/473984589097059768    Z/198376007989432085363129684509608357764         Z/418528392172703776028 + Z/418528392172703776028     Z/154671591293272313204693220585612030855875708          Z/369560570288497434231840 + Z/369560570288497434231840     Z/120595738343860196610254052465175258725986874115124          Z/326321983564743234426715604 + Z/326321983564743234426715604     Z/94027170633586012834852371912520032300805979891946136748           Z/288142311487668275998789877448 + Z/288142311487668275998789877448
 887  Z/888        Z/888 + Z/888    Z/697864104         Z/786768 + Z/786768    Z/549057842453208         Z/697864104 + Z/697864104    Z/431981689649067218184         Z/619005459360 + Z/619005459360    Z/339869801983506966182620728         Z/549057842453208 + Z/549057842453208    Z/267399024236761792276534326761064         Z/487014306255994608 + Z/487014306255994608    Z/210381262899732838547616635731474775448         Z/431981689649067218184 + Z/431981689649067218184     Z/165521455830359905651269792877816677603660744          Z/383167758718722622528320 + Z/383167758718722622528320     Z/130227150282196432609343883672686949621554559109368          Z/339869801983506966182620728 + Z/339869801983506966182620728     Z/102458684800373405087620878013276238666800858915917565224          Z/301464514359370679003984584848 + Z/301464514359370679003984584848
 907  Z/908        Z/908 + Z/908    Z/746142644         Z/822648 + Z/822648    Z/613813499121308         Z/746142644 + Z/746142644    Z/504953061238644082244         Z/676751377200 + Z/676751377200    Z/415399130874909315613121708         Z/613813499121308 + Z/613813499121308    Z/341727679615113273579818959141844         Z/556728843703025448 + Z/556728843703025448    Z/281121933907693319397164486919078002108         Z/504953061238644082244 + Z/504953061238644082244     Z/231264677807230001508757967999492599355321444          Z/457992426543450182594400 + Z/457992426543450182594400     Z/190249655933439953511178233616814587367055829762508          Z/415399130874909315613121708 + Z/415399130874909315613121708     Z/156508689203988444316017262706638903482921111298296621044          Z/376767011703542749261101388248 + Z/376767011703542749261101388248
